iter	Passed	Remaining
0	0	98
1	2	98
2	2	92
3	3	84
4	4	81
5	5	78
6	5	78
7	7	85
8	8	83
9	9	88
10	11	89
11	11	86
12	12	85
13	14	91
14	15	90
15	16	87
16	17	84
17	18	82
18	18	79
19	19	77
20	20	76
21	21	74
22	21	73
23	22	70
24	22	68
25	24	68
26	25	68
27	25	66
28	26	65
29	27	64
30	28	62
31	28	61
32	29	59
33	30	58
34	30	57
35	31	56
36	32	54
37	32	53
38	33	52
39	34	51
40	34	50
41	34	48
42	35	47
43	36	46
44	36	44
45	37	44
46	38	43
47	39	42
48	40	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	33
59	48	32
60	48	31
61	49	30
62	49	29
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	55	22
71	56	21
72	56	21
73	57	20
74	58	19
75	58	18
76	59	17
77	60	17
78	60	16
79	61	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	64	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	70	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	74	1
98	74	0
99	75	0
